ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
584	1	1	2	0.000000	199.000000	135.000000	0.000000	0.000000	0	69	0
585	23	1	1	0.000000	74.782609	74.000000	0.000000	0.000000	0	118	0
586	5	2	2	0.000000	119.000000	119.000000	0.000000	0.000000	0	51	0
587	2	2	2	0.000000	73.500000	73.000000	0.000000	0.000000	0	38	0
588	1	2	2	0.000000	148.000000	146.000000	0.000000	0.000000	0	73	0
589	1	2	3	0.000000	177.000000	175.000000	0.000000	0.000000	0	90	0
590	42	1	1	0.000000	74.333333	73.333333	0.000000	0.000000	0	83	0
591	26	1	1	0.000000	58.346154	58.346154	0.000000	0.000000	0	34	0
592	39318	0	0	0.000000	75.666641	46.334732	0.000000	0.000000	0	8588	0
593	6	3	2	0.000000	270.166667	269.166667	0.000000	0.000000	0	145	0
594	1	5	2	0.000000	324.000000	113.000000	0.000000	0.000000	0	154	0
595	4	0	0	0.000000	148.750000	146.000000	0.000000	0.000000	0	73	0
596	15654	0	0	0.000000	72.501597	70.220710	0.000000	0.000000	0	3308	0
597	1057	0	0	0.000000	67.690634	65.306528	0.000000	0.000000	0	216	0
598	2	0	0	0.000000	120.000000	116.500000	0.000000	0.000000	0	64	0
599	5244	0	0	0.000000	74.718535	72.159611	0.000000	0.000000	0	1159	0
600	9	0	0	0.000000	166.777778	100.777778	0.000000	0.000000	0	105	0
601	40	1	1	0.000000	415.250000	167.275000	0.000000	0.000000	0	269	0
602	1	1	3	0.000000	875.000000	84.000000	0.000000	0.000000	0	350	0
603	1	1	5	0.000000	1837.000000	157.000000	0.000000	0.000000	0	1343	0
604	1	3	1	0.000000	1689.000000	164.000000	0.000000	0.000000	0	1215	0
605	5	1	1	0.000000	88.200000	83.400000	0.000000	0.000000	0	53	0
606	1	1	2	0.000000	227.000000	227.000000	0.000000	0.000000	0	116	0
607	2	1	1	0.000000	159.000000	119.000000	0.000000	0.000000	0	82	0
608	55	1	1	0.000000	94.509091	93.236364	0.000000	0.000000	0	94	0
609	10	2	2	0.000000	539.400000	535.200000	0.000000	0.000000	0	332	0
610	1	3	1	0.000000	368.000000	73.000000	0.000000	0.000000	0	175	0
611	4	0	0	0.000000	152.500000	147.500000	0.000000	0.000000	0	83	0
612	43	1	1	0.000000	75.627907	75.139535	0.000000	0.000000	0	45	0
613	37	1	1	0.000000	99.783784	98.675676	0.000000	0.000000	0	90	0
614	35137	0	0	0.000000	72.104847	69.649942	0.000000	0.000000	0	7349	0
615	2	3	2	0.000000	413.000000	143.000000	0.000000	0.000000	0	155	0
616	3	1	1	0.000000	75.333333	75.333333	0.000000	0.000000	0	39	0
617	1	2	0	0.000000	159.000000	157.000000	0.000000	0.000000	0	77	0
618	2	1	1	0.000000	128.500000	126.000000	0.000000	0.000000	0	81	0
619	3	0	0	0.000000	132.000000	131.000000	0.000000	0.000000	0	66	0
620	3	0	0	0.000000	137.000000	136.333333	0.000000	0.000000	0	68	0
621	2	0	0	0.000000	151.500000	148.500000	0.000000	0.000000	0	76	0
622	8	0	0	0.000000	125.875000	123.000000	0.000000	0.000000	0	68	0
623	11	0	0	0.000000	118.636364	115.909091	0.000000	0.000000	0	75	0
624	4	0	0	0.000000	165.250000	165.250000	0.000000	0.000000	0	77	0
625	50664	0	0	0.000000	72.003533	48.305069	0.000000	0.000000	0	10443	0
626	8769	0	0	0.000000	75.351465	72.150302	0.000000	0.000000	0	1900	0
627	49	1	0	0.000000	91.020408	90.346939	0.000000	0.000000	0	141	0
628	2	1	2	0.000000	133.000000	132.000000	0.000000	0.000000	0	63	0
629	6036	0	0	0.000000	72.976972	70.995693	0.000000	0.000000	0	1239	0
630	322	1	0	0.000000	79.180124	77.515528	0.000000	0.000000	0	108	0
631	1	2	1	0.000000	339.000000	337.000000	0.000000	0.000000	0	177	0
632	1	2	1	0.000000	150.000000	150.000000	0.000000	0.000000	0	77	0
633	1	2	1	0.000000	399.000000	399.000000	0.000000	0.000000	0	154	0
634	3559	0	1	0.000000	60.855015	58.790110	0.000000	0.000000	0	639	0
635	35	1	1	0.000000	87.628571	81.742857	0.000000	0.000000	0	50	0
636	885	0	0	0.000000	65.150282	58.471186	0.000000	0.000000	0	188	0
637	157	0	0	0.000000	108.636943	103.624204	0.000000	0.000000	0	230	0
638	3338	0	0	0.000000	59.506591	57.871480	0.000000	0.000000	0	626	0
639	6	0	0	0.000000	143.833333	142.833333	0.000000	0.000000	0	78	0
640	3	0	0	0.000000	160.666667	159.000000	0.000000	0.000000	0	86	0
641	42	1	1	0.000000	72.547619	70.523810	0.000000	0.000000	0	90	0
642	4	0	2	0.000000	150.750000	147.250000	0.000000	0.000000	0	75	0
643	2	1	1	0.000000	88.500000	88.500000	0.000000	0.000000	0	59	0
644	31137	0	0	0.000000	72.486463	69.948068	0.000000	0.000000	0	6482	0
645	1	1	0	0.000000	159.000000	154.000000	0.000000	0.000000	0	77	0
646	1	1	3	0.000000	538.000000	297.000000	0.000000	0.000000	0	270	0
647	1	4	3	0.000000	1076.000000	800.000000	0.000000	0.000000	0	522	0
648	0	2	2	Inf	Inf	Inf	Inf	Inf	0	120	0
649	2	1	1	0.000000	169.000000	169.000000	0.000000	0.000000	0	63	0
650	1	2	1	0.000000	414.000000	411.000000	0.000000	0.000000	0	209	0
651	5	1	1	0.000000	112.600000	111.400000	0.000000	0.000000	0	55	0
